# Data from Ignacio Martín Navarro
# Total growth in mass of 4 galaxies mass range (9, 10, 11, 12 in log(M/Msun))
# LookbackTime Mass1 Mass2 Mass3 Mass4
0.03 8.998610721649488 9.994098645833331 10.971513265306118 11.957956565656565
0.05 8.996116746668587 9.992712899937102 10.971257652539185 11.957922569451167
0.1 8.993853069239798 9.99143573991294 10.971018799917028 11.957858823566129
0.3 8.990888022952388 9.989727221345928 10.970756634015169 11.957726827180084
0.8 8.981499390515118 9.984660785517464 10.97002497887664 11.95737755341218
1.5 8.95414983002897 9.967300363472491 10.966946844310483 11.957041434312243
3.5 8.91490676805938 9.937665979108823 10.960864687533018 11.956920654724627
6.0 8.837454629811853 9.869497126517594 10.941045403216789 11.95613841185252
8.0 8.708980037748676 9.753617888077953 10.89796499492706 11.950662739685685
10.0 8.563147848918112 9.579069003446811 10.813030989627265 11.926061559820347
12.0 8.299493666460434 9.368048566908726 10.692813365883751 11.845284327580384
#14.0 7.898674095423926 8.94292219331221 10.424606002152048 11.615172851562509
